FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
36075,,Low,Low,,,,,High,,,,,,,,,,,,,,,,,2,136563.0,14.645255303413077
36077,,Low,Low,,,,,,,,,,,,,,,,,,,,,,0,97616.0,0.0
36079,,High,Low,,,Low,,Low,,,,High,,,,,,,,,,,,,3,186009.0,16.128251858781024
36081,,High,Low,High,,,,,High,Low,High,,,,,,,,,,,,,,37,2682963.0,13.790723166886758
36083,,High,High,Low,,,,,,High,High,High,,,,,,,,,,,,,2,187730.0,10.653598252809887
36087,,Low,Low,,,,,,,,,,,,,,,,,,,,,,11,342791.0,32.08952393732624
36089,,High,High,,,Low,,High,,,,,,Low,,,,,,High,,,,,0,123306.0,0.0
36091,,Low,,,,,,,,Low,High,High,,,Low,,,,,,,,,,10,306708.0,32.60430115940895
36093,,Low,Low,Low,,Low,,Low,,High,High,High,,,High,,,,,,,,,,4,239100.0,16.72940192388122
36097,,Low,High,,,,,,,,,,,,,,,,,,,,,,0,72667.0,0.0
36099,,,,,Low,Low,,,,,,,,,,,,,,,,,,,1,76673.0,13.042400845147574
36101,,Low,High,Low,,,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,4,128332.0,31.169155004207834
36103,Low,High,Low,High,Low,,High,Low,High,High,High,High,Low,,,,,,,,,,,,32,1615955.0,19.80253162990306
36109,,,,,,Low,,Low,,,,,,,,,,,,,,,,,1,146020.0,6.848376934666485
36111,,,,,,Low,,Low,,,,,,,,,,,,,,,,,4,227843.0,17.55594861373841
36113,,Low,,,,,,,,,,,,,Low,,,,,,,,,,2,81850.0,24.434941967012826
36117,,High,High,,,Low,,Low,,,,,,,,,,,,,,,,,4,220450.0,18.144704014515764
36119,,High,Low,,Low,Low,,Low,,,,Low,,,,,,,,,,,,,19,1180268.0,16.09803875052107
36121,,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,,,,2,87973.0,22.734248007911518
36123,,,,,,,,,,,,,Low,,,,,,,,,,,,0,84295.0,0.0
48001,,,,,,,,,,Low,,,,,,,,,,,,,,,1,92245.0,10.840695972681447
48003,,,,,,Low,Low,,,,,,High,,,,,,,,,,,Low,0,18588.0,0.0
48005,,High,,Low,,Low,,High,,,,Low,,Low,High,,,,,,,,,Low,0,100984.0,0.0
48013,,Low,Low,Low,,High,,High,,Low,Low,Low,,High,,,,,,,,,,,1,113592.0,8.803436861750827
48015,,,,,,High,,High,,,,,,,,,,,,,,,,,0,69407.0,0.0
48021,,,,,,,,Low,,,,,,,,,,,,,,,,,1,182888.0,5.467827304142426
48025,,,,Low,,Low,High,Low,,High,High,High,,,,,,,,,,,,,1,60150.0,16.62510390689942
48027,High,Low,Low,,High,Low,,,,High,High,High,High,,High,,,,,,,,,,6,437647.0,13.709679262053664
48029,High,High,High,High,High,Low,High,High,High,High,High,High,Low,,High,High,,,,,High,High,,,30,2181273.0,13.753436639980416
48037,,,,,,Low,,Low,,,,,,,,,,,,,,,,,1,94240.0,10.611205432937183
48039,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,,,High,,Low,Low,,Low,2,495440.0,4.036815759728726
48041,,Low,Low,,,Low,,Low,,,,High,Low,,,,,,,,,,,,4,262462.0,15.240301453162743
48049,,Low,Low,Low,,,,,,High,High,High,High,,High,,,,,,,,,,3,50745.0,59.11912503694945
48051,,High,Low,,,,,,,,,,,,,,,,,,,,,,0,28087.0,0.0
48053,,Low,,,,Low,,Low,,,,,,,,,,,,,,,,,1,172500.0,5.797101449275362
48055,,,,,,High,,High,,,,High,,,,,,,,,,,,,2,251949.0,7.938114459672395
48057,Low,High,High,High,,,High,Low,Low,High,High,High,Low,,Low,,,High,High,,,,,,0,28730.0,0.0
48061,,Low,,High,,Low,High,Low,High,High,High,High,High,,,High,,,,,,High,,,8,457699.0,17.478736025204338
48063,,Low,High,,,High,,,,,,,,,,,,,,,,,,,0,38096.0,0.0
48067,,,,,,,,,,High,,,,,High,,,,,,,,,,1,82148.0,12.173150898378537
48071,,Low,Low,High,,Low,High,,,High,High,High,Low,,Low,,Low,,,,,,,,0,159186.0,0.0
48073,,Low,Low,,High,,,High,,Low,,,Low,,,,,,,,,,,,1,67750.0,14.760147601476016
48081,,,,,,,Low,,,,Low,Low,,,,,,,,,,,,,0,19642.0,0.0
48085,,,,,,Low,,,,Low,Low,,,,,,,,,,,,,,22,1467211.0,14.994435019911927
48089,,,,,,,High,,,Low,Low,Low,,,,High,,,,,Low,High,,,1,57500.0,17.391304347826086
48091,Low,Low,,,High,,,,,,,,High,,,,,,,,,,,,4,451780.0,8.853866926380098
48097,,,,,Low,,,,,,,,High,,,,,,,,,,,,0,99335.0,0.0
48103,,,,,,,High,,,Low,Low,Low,,,High,,,,,,,,,,0,14184.0,0.0
48105,,,,,,,High,,,Low,Low,High,,,,,,,,,,,,,0,3027.0,0.0
48109,,,,,,,Low,,,Low,Low,Low,,,,,,,,,,,,,0,2222.0,0.0
48113,Low,High,High,High,Low,High,High,Low,Low,High,High,High,High,High,Low,,,,,,,,,Low,40,3140770.0,12.73573041005868
48117,,,,,,,Low,Low,,,,Low,,,Low,,,,,,,,,,1,52434.0,19.071594766754394
48121,,Low,Low,,,Low,,Low,,,,,,,,,,,,,,,,,15,1356995.0,11.053835865275849
48135,,Low,,High,,Low,High,High,Low,High,High,High,,,,,,,,,,,,,3,208254.0,14.405485608919877
48139,High,High,High,High,High,Low,High,High,High,High,High,High,High,,High,,,,,,,,,High,6,377662.0,15.88722190741986
48141,High,High,High,High,,High,High,,High,High,High,High,,High,,,,,,,,,,,22,865899.0,25.40712022995754
48143,,,,,,,,,,,,,High,,,,,,,,,,,,0,63556.0,0.0
48149,High,High,,Low,High,,Low,,,Low,Low,Low,,,High,,,,,,,,,,0,62475.0,0.0
48157,,Low,Low,High,,High,,High,Low,High,High,Low,High,High,Low,,,,,,,,,Low,13,1319697.0,9.850746042462777
48161,,Low,,,,,,,,,,,,,,,,,,,,,,,0,36251.0,0.0
48163,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,0,34132.0,0.0
48165,,,,,,,High,,,,Low,Low,,,,,,,,,,,,,2,27466.0,72.81730139081046
48167,High,High,High,High,High,,High,,High,High,High,High,High,,High,High,Low,High,,,High,High,,,10,472270.0,21.174328244436445
48173,,,,,,,High,,,Low,High,High,,,High,,,,,,,,,,0,32833.0,0.0
48175,,Low,,Low,,,High,,,Low,,Low,,,High,,,,,,,,,,0,31531.0,0.0
48177,,,,High,,,High,,,Low,High,High,,,High,High,,,,,High,High,,,0,47457.0,0.0
48179,,High,,,,High,,,,,,,Low,,,,,,,,,,,,0,24156.0,0.0
48181,,High,,,,Low,,High,,,,,Low,,,,,,,,,,,,1,201244.0,4.969092246228459
48183,Low,,,High,High,High,High,High,Low,High,High,High,High,,High,,,Low,,,,,,,3,167186.0,17.944086227315687
48185,,,,,,High,,High,,,,High,,,,,,,,,,,,,0,109404.0,0.0
48187,,,,Low,,High,,High,,Low,Low,Low,High,,,,,,,,,,,,1,391329.0,2.5553945656979162
48189,,,,,,,Low,,,,,Low,,,,,,,,,,,,,0,37173.0,0.0
48195,,,,,,,Low,,,Low,,Low,,,,,,,,,,,,,0,10097.0,0.0
48199,,,,Low,,High,High,High,,Low,Low,Low,High,,,,,,,,,,,,0,61844.0,0.0
48201,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,,High,High,High,High,Low,Low,Low,High,87,5212008.0,16.692223035728265
48203,,Low,Low,,,,High,,Low,High,Low,Low,Low,,,,,,,,,,,,1,144779.0,6.90707906533406
48209,,Low,Low,Low,,High,Low,High,Low,Low,Low,Low,,,,,,,,,,,,,4,466331.0,8.57759831535969
48213,,,,,,,,Low,,,,,Low,,,,,,,,,,,,3,126299.0,23.753157190476568
48215,Low,,,,Low,Low,,Low,,,,,Low,,,,,,,,,,,,11,887117.0,12.399717286445869
48217,,Low,,,,,,,,,,,,,,,,,,,,,,,1,53258.0,18.776521837094897
48219,,,,Low,,,High,,,Low,Low,Low,,,,,,,,,,,,,0,65340.0,0.0
48221,,,,,,,,High,,Low,,Low,,,,,,,,,,,,,0,134375.0,0.0
48223,,,,,,,,,,,,,High,,,,,,,,,,,,0,67687.0,0.0
48225,,,,,,Low,High,,,,,,,,,,,,,,,,,,0,37743.0,0.0
48227,,High,High,High,,,High,,High,High,High,High,High,,High,,,,,,,,,,2,33458.0,59.776436128878
48231,,,,,,High,,High,,,,,,,,,,,,,,,,,3,189439.0,15.836232243624595
48233,High,High,High,High,High,,High,,High,High,High,High,,,High,,,Low,,,,,,,2,25613.0,78.08534728458206
48235,,,,,,,High,,,Low,Low,Low,,,,,,,,,,,,,0,69208.0,0.0
48239,,Low,,Low,,,High,,Low,High,Low,High,,,,,,,,,,,,,0,39732.0,0.0
48241,,High,High,,,,High,,,,,,,,High,,,,,,,,,,0,89777.0,0.0
48245,High,High,High,High,Low,High,High,Low,High,High,High,High,High,,Low,Low,,High,,,High,Low,Low,,3,262427.0,11.431750543960797
48251,,High,,,Low,High,High,Low,,High,Low,High,Low,,High,,,,,,,,,,4,381744.0,10.478226245861102
48255,,,,,,,High,,,,High,Low,High,,High,High,,,,,High,High,,,0,17141.0,0.0
48257,,High,,,,,,Low,,Low,Low,Low,,High,,,,,,,,,,,1,295943.0,3.3790290697870873
48273,,,,,,,Low,,,,,Low,,,,,,,,,,,,,0,31015.0,0.0
48277,,High,,,,High,,High,,,,,,,,,,,,,,,,,2,57346.0,34.876015763959124
48279,,Low,High,,,,,,,,,,,,,,,,,,,,,,0,27840.0,0.0
48283,,,,,,,Low,,,Low,Low,Low,,,,,,,,,,,,,0,12637.0,0.0
48285,,,,,,Low,High,Low,,Low,Low,High,,,High,Low,,,,,,Low,,,0,32652.0,0.0
48287,,,,,,,,,,,,,High,,,,,,,,,,,,0,71489.0,0.0
48289,High,Low,,Low,High,High,Low,High,Low,Low,Low,Low,,,,,,,,,,,,,0,29560.0,0.0
48291,,,,,,High,,,,Low,Low,Low,,,,,,,,,,,,,1,158807.0,6.296951645708313
48293,,,,,,High,,,,,,,,,,,,,,,,,,,0,38546.0,0.0
48297,,High,High,High,,,High,,High,High,High,High,Low,,,,,Low,,,,,,,0,62699.0,0.0
48301,,,,,,,High,,,Low,High,High,,,,,,,,,,,,,0,57.0,0.0
48303,,Low,Low,Low,,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,,,7,319443.0,21.91314256377507
