FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
19061,,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,1,112750.0,8.869179600886918
19063,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1,11860.0,84.31703204047217
19065,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,36224.0,27.60600706713781
19067,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,1,29749.0,33.61457527984134
19069,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0,23015.0,0.0
19073,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,0,27421.0,0.0
19075,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,71378.0,0.0
19077,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,28480.0,0.0
19079,,,,1.0,,,1.0,,,0.0,,1.0,,,,,,,,,,,,,1,40824.0,24.495394865765235
19081,,,,,,,,1.0,,,,,,,,,,,,,,,,,1,20590.0,48.56726566294317
19083,,,,,,,0.0,,,0.0,0.0,0.0,,,1.0,,,,,,,,,,1,19886.0,50.286633812732575
19085,,,,,,0.0,,,,,,,,,,,,,,,,,,,2,19800.0,101.01010101010101
19087,,0.0,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1,29079.0,34.38907802881805
19091,,,,,,,,,,,,,0.0,,,,,,,,,,,,1,18650.0,53.61930294906166
19093,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,2,12394.0,161.36840406648378
19097,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,23788.0,0.0
19099,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1,62549.0,15.987465826791794
19101,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1,36181.0,27.638815953124567
19103,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,3,234001.0,12.820458032230631
19109,,,,,,0.0,,0.0,,,,,1.0,,0.0,,,,,,,,,,1,21027.0,47.557901745375
19111,1.0,,,1.0,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,,,,,,,,,,1,35580.0,28.10567734682406
19113,,1.0,0.0,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,6,262100.0,22.89202594429607
19117,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1,14474.0,69.0894016857814
19123,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0,72074.0,0.0
19125,,,,,,0.0,1.0,0.0,,1.0,1.0,1.0,,,,,,,,,,,,,1,51507.0,19.414836818296543
19127,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2,48911.0,40.89059720717221
19131,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0,16687.0,0.0
19135,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,12432.0,0.0
19139,,,,1.0,,1.0,0.0,1.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,3,56728.0,52.883937385418136
19141,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,1,20820.0,48.03073967339097
19143,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,1,18921.0,52.851329210929656
19145,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,0,27211.0,0.0
19147,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,15105.0,0.0
19149,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,3,67522.0,44.42996356742988
19151,,,,,,,,0.0,,,,,1.0,,,,,,,,,,,,1,15687.0,63.747051698858925
19153,,0.0,1.0,1.0,,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,13,566593.0,22.9441592112857
19155,,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,2,119902.0,16.680288902603795
19161,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,31092.0,0.0
19163,,1.0,0.0,1.0,,1.0,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,6,177844.0,33.73743280627966
19165,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,34540.0,0.0
19167,,,,1.0,,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,1,61516.0,16.255933415696727
19169,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,2,118406.0,16.891035927233418
19171,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0,62559.0,0.0
19173,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0,17987.0,0.0
19175,,,,,,,,,,,,,,,0.0,,,,,,,,,,0,17371.0,0.0
19177,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,9970.0,0.0
19179,,1.0,1.0,0.0,,,0.0,,,0.0,0.0,1.0,0.0,,1.0,,,,,,,,,,1,52872.0,18.913602663035256
19187,,,,,,,0.0,,,0.0,1.0,0.0,,,0.0,,,,,,,,,,0,61069.0,0.0
19189,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,0,19436.0,0.0
19191,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,36407.0,0.0
19193,,1.0,,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,1,114238.0,8.753654650816715
